Epoch,Loss
0,2.242424488067627
1,2.106707811355591
2,1.9415018558502197
3,1.7352077960968018
4,1.5062772035598755
5,1.293373465538025
6,1.1196577548980713
7,0.9853148460388184
8,0.8822768330574036
9,0.8024621605873108
10,0.7395654320716858
11,0.6890754103660583
12,0.6477545499801636
13,0.6134459376335144
14,0.5844650864601135
15,0.5597159266471863
16,0.5382960438728333
17,0.519615888595581
18,0.5031796097755432
19,0.4886017143726349
20,0.47560515999794006
21,0.4639580547809601
22,0.45346149802207947
23,0.4439507722854614
24,0.4353363513946533
25,0.4274582862854004
26,0.4202594757080078
27,0.41364482045173645
28,0.4075547754764557
29,0.401932030916214
